protein,S1_Ion_126.128,S1_Ion_127.125,S1_Ion_127.131,S1_Ion_128.128,S1_Ion_128.134,S1_Ion_129.131,S1_Ion_129.138,S1_Ion_130.135,S1_Ion_130.141,S1_Ion_131.138,S2_Ion_126.128,S2_Ion_127.125,S2_Ion_127.131,S2_Ion_128.128,S2_Ion_128.134,S2_Ion_129.131,S2_Ion_129.138,S2_Ion_130.135,S2_Ion_130.141,S2_Ion_131.138,S2_Ion_131.144
sp|A5A3E0|POTEF_HUMAN,0.128306892,0.054921553,-0.027984294,-0.074551048,0.130024811,-0.362870006,-0.202313203,-0.157656227,0.222917621,0.289203901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A5D8V6|VP37C_HUMAN,-0.009894992,0.053024124,-0.05404396,-0.186802016,-0.040764934,0.021353564,-0.304741962,-0.018899586,0.211784874,0.328984888,0.085918457,0.116960967,-0.000911918,0.000981814,-0.010871842,-0.049839141,-0.285247996,0.137246146,0.053887401,0.195082338,-0.243206224
sp|A5PLL7|TM189_HUMAN,-0.095274691,0.046801439,-0.007732272,-0.084199684,-0.019299076,-0.151721645,-0.24593926,-0.053025658,0.206135331,0.404255517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A5PLN9|TPC13_HUMAN,0.13667089,0.179810228,-0.083945862,-0.09874681,0.004140096,-0.009321091,-0.38060006,-0.154261053,0.215396343,0.19085732,0.068414761,0.067005368,-0.108902899,-0.031853355,0.044758894,-0.232932603,-0.040007649,0.08489971,0.124574195,0.139596375,-0.115552796
sp|A5YKK6|CNOT1_HUMAN,0.123222386,0.148149394,-0.075435356,-0.128542919,-0.02800496,-0.050652555,-0.335097758,-0.09599515,0.231483706,0.210873212,0.091822817,0.04656193,-0.066009322,-0.031900849,0.072491782,-0.155798941,-0.092215572,0.04355493,0.084893778,0.139007362,-0.132407914
sp|A5YM69|ARG35_HUMAN,0.153304765,0.018285296,0.029397282,0.039652081,0.08985071,-0.142688108,-0.140813424,-0.31422712,0.160932831,0.106305687,0.090612231,0.011302756,-0.125621571,0.088033763,0.266550157,-0.020584515,-0.145008395,0.12539388,-0.008918844,0.017469158,-0.299228619
sp|A6NCE7|MP3B2_HUMAN,0.189128259,0.331562498,0.031984735,-0.020033377,0.090118909,-0.134865513,-0.409001483,-0.260894013,0.070429521,0.111570465,0.092799679,0.170744286,-0.046763847,-0.248492743,-0.138919323,-0.339134061,-0.032921372,0.18554021,0.129230724,0.303574148,-0.0756577
sp|A6NCS6|CB072_HUMAN,0.129415066,0.269218884,-0.106750024,-0.087361919,0.054208049,0.004577949,-0.399233657,-0.129803776,0.096094063,0.169635365,0.035561074,0.196467717,-0.04948604,-0.17601064,-0.050463175,-0.293580041,0.038676851,0.029158566,0.078861776,0.168673918,0.022139994
sp|A6ND36|FA83G_HUMAN,0.104803267,-0.011530074,-0.092168822,-0.079793388,-0.074464217,-0.00815017,-0.295300151,-0.067390691,0.253911986,0.270082261,0.054029018,-0.059049708,-0.003075947,-0.075634314,0.095047274,-0.270280971,-7.94E-05,0.131129259,0.278211233,0.038355763,-0.188652207
sp|A6NDG6|PGP_HUMAN,0.111529607,0.148201626,-0.090831864,-0.133185156,-0.061897351,-0.034382361,-0.336980782,-0.094511816,0.222342114,0.269715982,0.145844962,0.058878602,-0.022557357,0.029002564,0.140388349,-0.133606056,-0.104041526,0.006742584,0.039036041,0.065702938,-0.2253911
sp|A6NDU8|CE051_HUMAN,0.078484762,0.140456147,-0.119277037,-0.169062491,-0.065252735,-0.068685111,-0.308975475,-0.195263305,0.311221129,0.396354117,0.036865239,-0.044387228,-0.191076025,-0.155023783,-0.046312839,-0.31505965,0.053732699,0.132665561,0.253421868,0.263988438,0.011185719
sp|A6NE02|BTBDH_HUMAN,0.138914289,0.159535779,-0.006902503,0.014106164,0.180729464,-0.178603963,-0.438289168,-0.14576537,0.156552095,0.119723214,0.001836611,0.055189935,-0.072852639,-0.242538378,-0.061212419,-0.314769724,0.137443504,0.1618995,0.151299366,0.232213822,-0.048509579
sp|A6NED2|RCCD1_HUMAN,0.006416424,0.102930056,-0.064524194,-0.098535018,-0.002462217,-0.014988356,-0.323919121,-0.124604428,0.239101101,0.280585752,0.00416751,0.013408408,-0.065734984,-0.085384571,0.035350259,-0.278542063,-0.050140588,0.13366905,0.185402563,0.25411764,-0.146313224
sp|A6NFI3|ZN316_HUMAN,0.294067087,0.059067936,-0.080494659,-0.067003758,-0.026718422,-0.187287992,-0.530556279,-0.055946228,0.278494418,0.316377897,0.142353522,0.191537928,0.168863646,-0.103167037,-0.137122932,-0.01906188,-0.091392793,-0.001261341,0.046513137,0.031082591,-0.22834484
sp|A6NFQ2|TCAF2_HUMAN,0.083946192,0.210904771,0.001581486,-0.105190608,0.061055201,-0.070948437,-0.374712037,-0.08826219,0.110520345,0.171105276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A6NFY7|SDHF1_HUMAN,0.041162592,0.140291511,-0.101719835,-0.129212759,0.020938162,-0.049194213,-0.163440792,-0.159755135,0.15116482,0.249765649,0.022986533,-0.072752809,0.018855521,-0.102895569,0.201504648,0.003999769,-0.055072132,0.010949341,0.091966514,0.064318109,-0.183859925
sp|A6NH11|GLTD2_HUMAN,0.079327464,0.097930077,-0.035861783,-0.177394761,0.02669484,-0.152068904,-0.160031511,-0.147326538,0.239458821,0.229272295,0.131522334,0.034518709,0.025555142,-0.216722722,-0.064479038,-0.288026738,0.038418044,0.070988643,0.072484868,0.24128991,-0.045549153
sp|A6NHL2|TBAL3_HUMAN,0.097654579,0.157583465,-0.116447016,-0.111997546,0.026813865,-0.037100274,-0.399744538,-0.060650856,0.195092109,0.248796212,0.011459666,0.033088755,-0.060785136,0.003618412,0.077148705,-0.121853287,-0.210906198,0.111998215,0.151036108,0.138949808,-0.133755047
sp|A6NHQ2|FBLL1_HUMAN,0.171990694,0.140927798,-0.117257407,-0.191690092,-0.07343768,0.022356474,-0.330321338,-0.127128664,0.233107505,0.271452709,0.092765014,0.093127133,-0.022383216,-0.026674043,0.077839827,-0.204066567,-0.146510103,0.052613127,0.078272018,0.191330348,-0.186313537
sp|A6NHR9|SMHD1_HUMAN,0.079608539,0.134162098,-0.124433965,-0.212504057,-0.094740587,0.00695641,-0.243483282,-0.046423455,0.252650322,0.248207977,0.039520478,0.042796419,-0.108263012,0.040620263,0.133682064,-0.08502381,-0.119320201,0.029655148,0.049637773,0.137160521,-0.160465643
sp|A6NHX0|CAST2_HUMAN,0.084403543,0.195986927,-0.080845119,-0.079585123,-0.014397512,-0.083506858,-0.317518507,-0.10213149,0.234482375,0.163111764,0.055484207,0.045860581,-0.111078668,-0.067132682,0.103778567,-0.226315291,-0.131013979,0.050081733,0.144950781,0.267657346,-0.132272595
sp|A6NIH7|U119B_HUMAN,0.160610077,0.108162301,-0.012523882,-0.15212191,-0.024248229,-0.078425555,-0.294310907,-0.177777832,0.228082131,0.242553806,0.193521947,0.109826002,-0.082838319,-0.149076146,0.019717038,-0.23273645,-0.014028994,0.062173336,0.121002176,0.16908138,-0.196641971
